id,track_name,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_name
7dcmZskqXONZuIuqGRLJ1C,Intro,Different World,3nzuGtN3nXARvvecier4K0,0.399,0.222,5,-11.073,1,0.0433,0.864,0.802,0.0906,0.0387,128.231,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
0lG6QM1jjbbX5UUn3DPmrZ,Lost Control,Different World,3nzuGtN3nXARvvecier4K0,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
7kVDkZkZc8qBUBsF6klUoY,I Don't Wanna Go,Different World,3nzuGtN3nXARvvecier4K0,0.423,0.751,11,-5.632,1,0.272,0.136,0,0.243,0.522,148.773,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
0lks2Kt9veMOFEAPN0fsqN,Lily,Different World,3nzuGtN3nXARvvecier4K0,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
6HMT7AzGA5wmn5m2t1BuZR,Lonely (feat. ISÃK & Omar Noir),Different World,3nzuGtN3nXARvvecier4K0,0.521,0.819,6,-7.267,0,0.0413,0.00911,0.00227,0.086,0.184,89.952,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1xUZ6CgfpXspcQuEIOhf2v,Do It All for You,Different World,3nzuGtN3nXARvvecier4K0,0.684,0.657,1,-5.483,1,0.0433,0.126,1.26E-06,0.109,0.415,82.007,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
4heFQCyiW0RUEX1Q1lb008,Different World (feat. CORSAK),Different World,3nzuGtN3nXARvvecier4K0,0.602,0.752,7,-4.931,0,0.0361,0.0638,0,0.13,0.331,130.037,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
5Q7xgSQqyhwrC2fJAXLeWE,Interlude,Different World,3nzuGtN3nXARvvecier4K0,0.467,0.0262,7,-14.617,1,0.0406,0.917,0.95,0.132,0.218,130.253,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1tfVpMI8G6EakZU4rEja4w,Sing Me to Sleep,Different World,3nzuGtN3nXARvvecier4K0,0.474,0.622,4,-6.381,0,0.061,0.0129,3.82E-06,0.327,0.158,176.062,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),Different World,3nzuGtN3nXARvvecier4K0,0.655,0.672,1,-4.966,1,0.0581,0.253,0,0.312,0.675,98.005,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
6SRWhUJcD2YKahCwHavz3X,Darkside,Different World,3nzuGtN3nXARvvecier4K0,0.43,0.606,4,-5.115,0,0.0431,0.131,0,0.173,0.123,169.988,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
3LlmKSHR3Rs0Y3KHQLAYDk,Alone,Different World,3nzuGtN3nXARvvecier4K0,0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
0nrWZWkJM62ftQJSI8fDc0,Diamond Heart,Different World,3nzuGtN3nXARvvecier4K0,0.478,0.633,0,-6.19,1,0.0345,0.123,0,0.41,0.287,89.909,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
02Jk9LuQmKe6YYFfcRdXpY,Faded (Interlude),Different World,3nzuGtN3nXARvvecier4K0,0.347,0.306,6,-19.755,1,0.038,0.761,0.967,0.166,0.0862,179.792,7vk5e3vY1uw9plTHJAMwjN,Alan Walker
